Datos
TEAM GP W L WIN% MIN PTS FGM FGA FG% 3PM 3PA 3P% FTM FTA FT% OREB DREB REB AST TOV STL BLK BLKA PF PFD +/-
"1
Boston Celtics
4 4 0 1.000 48.0 113.5 41.3 84.3 49.0 12.3 34.5 35.5 18.8 22.8 82.4 11.0 28.5 39.5 25.8 14.0 8.8 4.0 6.5 24.5 24.8 4.5"
"2
Miami Heat
5 4 1 .800 48.0 109.4 39.8 85.6 46.5 13.2 38.4 34.4 16.6 21.2 78.3 8.2 31.8 40.0 25.4 13.2 9.4 3.0 2.4 23.4 21.6 12.0"
"3
Golden State Warriors
4 3 1 .750 48.0 122.0 43.3 81.5 53.1 15.8 37.3 42.3 19.8 28.3 69.9 7.3 28.3 35.5 28.8 13.8 9.3 6.3 3.0 23.5 26.0 9.0"
"3
Milwaukee Bucks
4 3 1 .750 48.0 108.3 40.0 85.8 46.6 14.0 37.0 37.8 14.3 21.5 66.3 8.5 43.5 52.0 23.5 15.3 5.5 5.5 3.3 19.0 18.8 14.3"
"5
Dallas Mavericks
5 3 2 .600 48.0 106.0 35.8 80.8 44.3 15.2 41.6 36.5 19.2 24.4 78.7 6.6 31.2 37.8 18.8 8.4 6.6 2.0 3.6 24.0 23.4 6.4"
"5
Memphis Grizzlies
5 3 2 .600 48.0 114.8 39.8 88.2 45.1 10.8 31.6 34.2 24.4 34.0 71.8 11.8 32.8 44.6 26.2 15.4 8.4 5.8 8.4 23.6 28.0 5.0"
"5
Philadelphia 76ers
5 3 2 .600 49.0 107.4 36.4 77.6 46.9 13.2 32.2 41.0 21.4 25.8 82.9 8.0 32.8 40.8 22.4 15.2 5.4 5.0 5.6 20.0 22.2 3.0"
"5
Phoenix Suns
5 3 2 .600 48.0 110.6 43.0 84.4 50.9 8.8 28.6 30.8 15.8 20.2 78.2 8.0 28.4 36.4 27.6 10.4 7.8 4.4 4.2 23.0 20.4 0.6"
"9
Minnesota Timberwolves
5 2 3 .400 48.0 109.8 36.0 81.6 44.1 14.2 36.6 38.8 23.6 28.4 83.1 7.2 33.4 40.6 23.0 19.0 7.4 8.4 5.8 28.0 23.6 -5.0"
"9
New Orleans Pelicans
5 2 3 .400 48.0 110.0 38.4 84.6 45.4 9.6 26.8 35.8 23.6 30.8 76.6 15.6 32.0 47.6 20.6 14.0 5.8 4.2 4.4 20.4 23.0 -0.6"
"9
Toronto Raptors
5 2 3 .400 49.0 104.4 39.0 85.4 45.7 10.4 32.4 32.1 16.0 20.2 79.2 9.0 28.8 37.8 21.8 10.0 6.8 5.6 5.0 22.2 20.0 -3.0"
"9
Utah Jazz
5 2 3 .400 48.0 99.6 34.8 78.0 44.6 8.0 28.8 27.8 22.0 27.8 79.1 9.0 35.2 44.2 16.6 11.8 3.8 3.6 2.0 23.4 24.0 -6.4"
"13
Chicago Bulls
4 1 3 .250 48.0 94.0 35.8 89.8 39.8 9.3 33.0 28.0 13.3 15.3 86.9 8.8 37.0 45.8 22.8 12.3 6.8 3.3 5.5 18.8 19.0 -14.3"
"13
Denver Nuggets
4 1 3 .250 48.0 113.0 40.3 83.3 48.3 12.5 32.0 39.1 20.0 24.3 82.5 10.5 29.3 39.8 24.8 16.8 7.5 3.0 6.3 26.0 23.5 -9.0"
"15
Atlanta Hawks
5 1 4 .200 48.0 97.4 34.4 78.2 44.0 11.4 35.0 32.6 17.2 22.0 78.2 8.6 30.8 39.4 18.6 16.4 5.8 2.4 3.0 21.6 23.4 -12.0"
"16
Brooklyn Nets
4 0 4 .000 48.0 109.0 39.3 78.0 50.3 11.5 27.3 42.2 19.0 25.8 73.8 8.5 25.5 34.0 22.3 15.3 8.0 6.5 4.0 24.8 24.5 -4.5"
